url,status_code,CMS,category
http://www.cocorepublic.com.au/,200,Magento,Shopping
http://www.theshovel.com.au/,200,WordPress,News and Media
http://www.tafecourses.com.au/,200,WordPress,Business
http://www.lawpath.com.au/,200,WordPress,Business
http://www.antheacrawford.com.au/,200,Magento,Society and Lifestyles
http://www.skinnymixers.com.au/,200,WordPress,Restaurant and Dining
http://www.modernwedding.com.au/,200,WordPress,Shopping
http://www.dresshop.com.au/,200,Magento,Shopping
http://www.adcentre.com.au/,200,WordPress,Reference
http://www.golights.com.au/,200,Magento,Shopping
http://www.shoutagency.com.au/,200,WordPress,Business
http://www.kbbdigital.com.au/,200,WordPress,Information Technology
http://www.ticketbooth.com.au/,200,WordPress,Business
http://www.jdlighting.com.au/,200,Magento,Shopping
http://www.gdayjapan.com.au/,200,WordPress,
http://www.freshforkids.com.au/,200,WordPress,Health and Wellness
http://www.gormanshop.com.au/,200,Magento,Shopping
http://www.windsorsmith.com.au/,200,Magento,Shopping
http://www.mjbseminars.com.au/,200,WordPress,Business
http://www.popcherry.com.au/,200,Magento,Shopping
http://www.swimweargalore.com.au/,200,Magento,Lingerie and Swimsuit
http://www.blankwall.com.au/,200,Magento,Business
http://www.dtechdrivertraining.com.au/,200,WordPress,Education
http://www.experian.com.au/,200,WordPress,Finance and Banking
http://www.aussiebroadband.com.au/,200,WordPress,Information Technology
http://www.pcaexpress.com.au/,200,WordPress,Business
http://www.kennards.com.au/,200,Magento,Business
http://www.goldentyreaustralia.com.au/,200,Magento,Business
http://www.hottoner.com.au/,200,OpenCart,Shopping
http://www.nicks.com.au/,200,Magento,Alcohol
http://www.hypop.com.au/,200,Shopify,Shopping
http://www.paddypallin.com.au/,200,Magento,Shopping
http://www.etax.com.au/,200,WordPress,Finance and Banking
http://www.canstarblue.com.au/,200,WordPress,Society and Lifestyles
http://www.vidaxl.com.au/,200,Magento,Information Technology
http://www.josephgeorge.com.au/,200,WordPress,Business
http://www.spelldesigns.com.au/,200,Shopify,Shopping
http://www.socialmedianews.com.au/,200,WordPress,Personal Websites and Blogs
http://www.roxyaustralia.com.au/,200,Magento,Shopping
http://www.china.com.au/,200,WordPress,Travel
http://www.esther.com.au/,200,Shopify,Shopping
http://www.coffeeclub.com.au/,200,WordPress,Restaurant and Dining
http://www.cancercouncil.com.au/,200,WordPress,Health and Wellness
http://www.buymobile.com.au/,200,Shopify,Shopping
http://www.awol.com.au/,200,WordPress,Travel
http://www.undieguys.com.au/,200,WordPress,Shopping
http://www.4seotraining.com.au/,200,WordPress,Information Technology
http://www.icedesign.com.au/,200,Magento,Society and Lifestyles
http://www.bikebiz.com.au/,200,Magento,Shopping
http://www.drummondgolf.com.au/,200,Magento,Business
http://www.keepcalmgetorganised.com.au/,200,WordPress,Shopping
http://www.dcshoes.com.au/,200,Magento,Shopping
http://www.taggle.com.au/,200,WordPress,Business
http://www.socialgarden.com.au/,200,WordPress,Business
http://www.cambuy.com.au/,200,Shopify,Shopping
http://www.hospitalitymagazine.com.au/,200,WordPress,News and Media
http://www.clickonfurniture.com.au/,200,Magento,Shopping
http://www.elitesupps.com.au/,200,Shopify,Health and Wellness
http://www.weberbbq.com.au/,200,WordPress,Business
http://www.profilebooster.com.au/,200,WordPress,Information Technology
http://www.joujou.com.au/,200,Shopify,Pornography
http://www.cheesecake.com.au/,200,Magento,Restaurant and Dining
http://www.mishkah.com.au/,200,Magento,Shopping
http://www.kresta.com.au/,200,WordPress,Business
http://www.dixonsmith.com.au/,200,WordPress,Shopping
http://www.mumsgrapevine.com.au/,200,WordPress,Shopping
http://www.thewodlife.com.au/,200,Shopify,Health and Wellness
http://www.macworld.com.au/,200,WordPress,Information Technology
http://www.brightstarkids.com.au/,200,Magento,Shopping
http://www.nutritionwarehouse.com.au/,200,Magento,Health and Wellness
http://www.hercanberra.com.au/,200,WordPress,Society and Lifestyles
http://www.skinnymetea.com.au/,200,Shopify,Health and Wellness
http://www.f45training.com.au/,200,WordPress,Health and Wellness
http://www.xenlife.com.au/,200,WordPress,Business
http://www.markomedia.com.au/,200,WordPress,Personal Websites and Blogs
http://www.quayaustralia.com.au/,200,Shopify,Shopping
http://www.enviropestcontrol.com.au/,200,WordPress,Business
http://www.supanova.com.au/,200,WordPress,Entertainment
http://www.swingers.com.au/,200,WordPress,Pornography
http://www.cocomi.com.au/,200,Shopify,Shopping
http://www.insidesmallbusiness.com.au/,200,WordPress,Business
http://www.kevinmurphy.com.au/,200,WordPress,Business
http://www.internetretailing.com.au/,200,WordPress,Information Technology
